Time,cycle_puissance
11-29-2022_14.52.14,8209.944250922257
11-29-2022_14.56.58,8111.4955270864075
11-29-2022_14.56.58,8308.13792359713
11-29-2022_14.56.58,8209.944250922257
11-29-2022_14.56.58,8156.154063502076
11-29-2022_14.56.58,8057.641832951444
11-29-2022_14.56.58,8352.41337112041
11-29-2022_14.56.58,7904.5225342542
11-29-2022_14.56.58,8209.944250922257
11-29-2022_14.56.58,8406.076545111027
11-29-2022_14.56.59,8156.154063502076
11-29-2022_14.56.59,8111.4955270864075
11-29-2022_14.56.59,8254.41124289173
11-29-2022_14.56.59,8156.154063502076
11-29-2022_14.56.59,8003.3538348315205
11-29-2022_14.56.59,8111.4955270864075
11-29-2022_14.56.59,8298.317429597608
11-29-2022_14.56.59,8057.641832951444
11-29-2022_14.56.59,8057.641832951444
11-29-2022_14.56.59,8352.41337112041
11-29-2022_14.57.00,8156.154063502076
11-29-2022_14.57.00,8003.3538348315205
11-29-2022_14.57.00,8254.41124289173
11-29-2022_14.57.00,8003.3538348315205
11-29-2022_14.57.00,8111.4955270864075
11-29-2022_14.57.00,8406.076545111027
11-29-2022_14.57.00,8057.641832951444
11-29-2022_14.57.00,7904.5225342542
11-29-2022_14.57.00,8200.251282503223
11-29-2022_14.57.01,8352.41337112041
11-29-2022_14.57.01,7904.5225342542
11-29-2022_14.57.01,8003.3538348315205
11-29-2022_14.57.01,8101.930084247861
11-29-2022_14.57.01,8156.154063502076
11-29-2022_14.57.01,8308.13792359713
11-29-2022_14.57.01,8254.41124289173
11-29-2022_14.57.01,8057.641832951444
11-29-2022_14.57.01,8264.168230176472
11-29-2022_14.57.02,8352.41337112041
11-29-2022_14.57.02,7958.874551239831
11-29-2022_14.57.02,8101.930084247861
11-29-2022_14.57.02,8156.154063502076
11-29-2022_14.57.02,8101.930084247861
11-29-2022_14.57.02,8308.13792359713
11-29-2022_14.57.02,8308.13792359713
11-29-2022_14.57.02,7958.874551239831
11-29-2022_14.57.02,8101.930084247861
11-29-2022_14.57.03,8352.41337112041
11-29-2022_14.57.03,8308.13792359713
11-29-2022_14.57.03,8209.944250922257
11-29-2022_14.57.03,8362.29788398564
11-29-2022_14.57.03,8308.13792359713
11-29-2022_14.57.03,7904.5225342542
11-29-2022_14.57.03,8156.154063502076
11-29-2022_14.57.03,8352.41337112041
11-29-2022_14.57.03,8057.641832951444
11-29-2022_14.57.03,8111.4955270864075
11-29-2022_14.57.04,8308.13792359713
11-29-2022_14.57.04,8209.944250922257
11-29-2022_14.57.04,8012.791752089576
11-29-2022_14.57.04,8156.154063502076
11-29-2022_14.57.04,8352.41337112041
11-29-2022_14.57.04,8057.641832951444
11-29-2022_14.57.04,8209.944250922257
11-29-2022_14.57.04,8352.41337112041
11-29-2022_14.57.04,8209.944250922257
11-29-2022_14.57.04,8012.791752089576
11-29-2022_14.57.05,8254.41124289173
11-29-2022_14.57.05,8406.076545111027
11-29-2022_14.57.05,8003.3538348315205
11-29-2022_14.57.05,8352.41337112041
11-29-2022_14.57.05,8156.154063502076
11-29-2022_14.57.05,8111.4955270864075
11-29-2022_14.57.05,8254.41124289173
11-29-2022_14.57.05,8352.41337112041
11-29-2022_14.57.05,8101.930084247861
11-29-2022_14.57.06,8264.168230176472
11-29-2022_14.57.06,8557.792038121035
11-29-2022_14.57.06,8057.641832951444
11-29-2022_14.57.06,8057.641832951444
11-29-2022_14.57.06,8362.29788398564
11-29-2022_14.57.06,8209.944250922257
11-29-2022_14.57.06,8111.4955270864075
11-29-2022_14.57.06,8416.02456469104
11-29-2022_14.57.06,8460.172486633826
11-29-2022_14.57.06,8057.641832951444
11-29-2022_14.57.07,8209.944250922257
11-29-2022_14.57.07,8308.13792359713
11-29-2022_14.57.07,8308.13792359713
11-29-2022_14.57.07,8308.13792359713
11-29-2022_14.57.07,8503.760115463943
11-29-2022_14.57.07,8111.4955270864075
11-29-2022_14.57.07,8111.4955270864075
11-29-2022_14.57.07,8362.29788398564
11-29-2022_14.57.07,8012.791752089576
11-29-2022_14.57.08,8156.154063502076
11-29-2022_14.57.08,8416.02456469104
11-29-2022_14.57.08,8308.13792359713
11-29-2022_14.57.08,8111.4955270864075
11-29-2022_14.57.08,8165.783525206329
11-29-2022_14.57.08,8460.172486633826
11-29-2022_14.57.08,8012.791752089576
11-29-2022_14.57.08,8156.154063502076
11-29-2022_14.57.08,8460.172486633826
11-29-2022_14.57.08,8209.944250922257
11-29-2022_14.57.09,8156.154063502076
11-29-2022_14.57.09,8308.13792359713
11-29-2022_14.57.09,8352.41337112041
11-29-2022_14.57.09,8209.944250922257
11-29-2022_14.57.09,8352.41337112041
11-29-2022_14.57.09,8209.944250922257
11-29-2022_14.57.09,8111.4955270864075
11-29-2022_14.57.09,8406.076545111027
11-29-2022_14.57.10,7958.874551239831
11-29-2022_14.58.38,8156.154063502076
11-29-2022_14.58.38,8406.076545111027
11-29-2022_14.58.38,7958.874551239831
11-29-2022_14.58.38,7958.874551239831
11-29-2022_14.58.38,8200.251282503223
11-29-2022_14.58.39,8156.154063502076
11-29-2022_14.58.39,8101.930084247861
11-29-2022_14.58.39,8317.958417596654
11-29-2022_14.58.39,8406.076545111027
11-29-2022_14.58.39,8057.641832951444
11-29-2022_14.58.39,8156.154063502076
11-29-2022_14.58.39,8352.41337112041
11-29-2022_14.58.39,8254.41124289173
11-29-2022_14.58.39,7904.5225342542
11-29-2022_14.58.39,8308.13792359713
11-29-2022_14.58.40,8406.076545111027
11-29-2022_14.58.40,8057.641832951444
11-29-2022_14.58.40,8209.944250922257
11-29-2022_14.58.40,8308.13792359713
11-29-2022_14.58.40,8101.930084247861
11-29-2022_14.58.40,8003.3538348315205
11-29-2022_14.58.40,8308.13792359713
11-29-2022_14.58.40,8396.128525531016
11-29-2022_14.58.40,8111.4955270864075
11-29-2022_14.58.40,8101.930084247861
11-29-2022_14.58.41,8406.076545111027
11-29-2022_14.58.41,7859.85221836724
11-29-2022_14.58.41,8057.641832951444
11-29-2022_14.58.41,8450.160448188106
11-29-2022_14.58.41,8156.154063502076
11-29-2022_14.58.41,8156.154063502076
11-29-2022_14.58.41,8200.251282503223
11-29-2022_14.58.41,8352.41337112041
11-29-2022_14.58.41,8003.3538348315205
11-29-2022_14.58.41,8101.930084247861
11-29-2022_14.58.42,8503.760115463943
